date,n_d_m_y_normalized
2015-01-01,1.246501614639397
2015-01-02,1.271431646932185
2015-01-03,1.4210118406889127
2015-01-04,1.720172228202368
2015-01-05,1.670312163616792
2015-01-06,1.8448223896663074
2015-01-07,1.3711517761033367
2015-01-08,1.4708719052744883
2015-01-09,1.3711517761033367
2015-01-10,1.3711517761033367
2015-01-11,1.246501614639397
2015-01-12,1.171711517761033
2015-01-13,1.620452099031216
2015-01-14,2.493003229278794
2015-01-15,2.094122712594187
2015-01-16,1.7451022604951558
2015-01-17,1.4210118406889127
2015-01-18,1.3462217438105488
2015-01-19,1.246501614639397
2015-01-20,1.3212917115177607
2015-01-21,1.520731969860064
2015-01-22,1.271431646932185
2015-01-23,1.2963616792249728
2015-01-24,1.3212917115177607
2015-01-25,1.3960818083961244
2015-01-26,2.044262648008611
2015-01-27,1.595522066738428
2015-01-28,1.520731969860064
2015-01-29,1.4459418729817004
2015-01-30,1.271431646932185
2015-01-31,1.171711517761033
2015-02-01,1.547684964200477
2015-02-02,1.4371360381861573
2015-02-03,1.630596658711217
2015-02-04,1.4647732696897373
2015-02-05,1.5753221957040573
2015-02-06,1.5753221957040573
2015-02-07,1.9069689737470166
2015-02-08,1.7964200477326966
2015-02-09,1.9346062052505961
2015-02-10,1.8793317422434366
2015-02-11,1.547684964200477
2015-02-12,1.7687828162291166
2015-02-13,1.520047732696897
2015-02-14,1.5753221957040573
2015-02-15,1.602959427207637
2015-02-16,1.630596658711217
2015-02-17,1.658233890214797
2015-02-18,1.5753221957040573
2015-02-19,1.7964200477326966
2015-02-20,2.763723150357995
2015-02-21,1.741145584725537
2015-02-22,1.658233890214797
2015-02-23,1.630596658711217
2015-02-24,1.520047732696897
2015-02-25,1.4094988066825773
2015-02-26,1.3542243436754176
2015-02-27,1.4647732696897373
2015-02-28,1.3542243436754176
2015-03-01,1.3434313725490195
2015-03-02,1.4948039215686273
2015-03-03,1.4380392156862745
2015-03-04,1.4948039215686273
2015-03-05,1.456960784313725
2015-03-06,1.7597058823529408
2015-03-07,1.8921568627450978
2015-03-08,1.4948039215686273
2015-03-09,1.4758823529411762
2015-03-10,1.7407843137254901
2015-03-11,1.6840196078431369
2015-03-12,1.4948039215686273
2015-03-13,1.4948039215686273
2015-03-14,1.4758823529411762
2015-03-15,1.4191176470588232
2015-03-16,1.6083333333333334
2015-03-17,1.4758823529411762
2015-03-18,1.6650980392156862
2015-03-19,1.6840196078431369
2015-03-20,1.4191176470588232
2015-03-21,1.3245098039215684
2015-03-22,1.3434313725490195
2015-03-23,1.3812745098039212
2015-03-24,1.4001960784313723
2015-03-25,1.589411764705882
2015-03-26,1.4948039215686273
2015-03-27,1.2677450980392155
2015-03-28,1.1731372549019605
2015-03-29,1.2866666666666664
2015-03-30,1.6461764705882351
2015-03-31,1.4001960784313723
2015-04-01,1.1291940298507461
2015-04-02,1.025492537313433
2015-04-03,1.025492537313433
2015-04-04,1.0139701492537312
2015-04-05,1.0946268656716416
2015-04-06,1.025492537313433
2015-04-07,1.0600597014925373
2015-04-08,1.1407164179104476
2015-04-09,1.1176716417910446
2015-04-10,1.0600597014925373
2015-04-11,0.9448358208955223
2015-04-12,0.9333134328358208
2015-04-13,1.0715820895522385
2015-04-14,1.0946268656716416
2015-04-15,1.0139701492537312
2015-04-16,0.9563582089552237
2015-04-17,0.9794029850746268
2015-04-18,0.9678805970149251
2015-04-19,1.025492537313433
2015-04-20,0.9794029850746268
2015-04-21,1.0946268656716416
2015-04-22,1.1522388059701494
2015-04-23,1.0139701492537312
2015-04-24,0.9794029850746268
2015-04-25,0.9448358208955223
2015-04-26,0.9678805970149251
2015-04-27,1.00244776119403
2015-04-28,1.00244776119403
2015-04-29,1.00244776119403
2015-04-30,1.0600597014925373
2015-05-01,0.9784537389100126
2015-05-02,0.8740853400929446
2015-05-03,0.913223489649345
2015-05-04,0.8740853400929446
2015-05-05,0.9262695395014785
2015-05-06,1.017591888466413
2015-05-07,0.965407689057879
2015-05-08,0.9784537389100126
2015-05-09,0.8610392902408109
2015-05-10,0.8610392902408109
2015-05-11,0.939315589353612
2015-05-12,0.939315589353612
2015-05-13,1.017591888466413
2015-05-14,1.30460498521335
2015-05-15,0.9784537389100126
2015-05-16,0.965407689057879
2015-05-17,0.9914997887621461
2015-05-18,0.965407689057879
2015-05-19,1.0306379383185467
2015-05-20,1.121960287283481
2015-05-21,1.069776087874947
2015-05-22,0.9914997887621461
2015-05-23,0.913223489649345
2015-05-24,1.017591888466413
2015-05-25,1.069776087874947
2015-05-26,1.017591888466413
2015-05-27,1.017591888466413
2015-05-28,0.8740853400929446
2015-05-29,1.0567300380228135
2015-05-30,1.2263286861005491
2015-05-31,1.121960287283481
2015-06-01,1.029993585631815
2015-06-02,0.9309557408595253
2015-06-03,0.9903784477228991
2015-06-04,0.9705708787684412
2015-06-05,0.8913406029506092
2015-06-06,0.9507633098139833
2015-06-07,0.9903784477228991
2015-06-08,0.8913406029506092
2015-06-09,0.9507633098139833
2015-06-10,0.9309557408595253
2015-06-11,0.8913406029506092
2015-06-12,0.9507633098139833
2015-06-13,0.7923027581783193
2015-06-14,0.9111481719050671
2015-06-15,0.9507633098139833
2015-06-16,1.010186016677357
2015-06-17,1.1092238614496468
2015-06-18,1.9807568954457981
2015-06-19,1.1092238614496468
2015-06-20,1.188454137267479
2015-06-21,0.9903784477228991
2015-06-22,0.9705708787684412
2015-06-23,0.9705708787684412
2015-06-24,0.9705708787684412
2015-06-25,1.029993585631815
2015-06-26,0.9111481719050671
