date,n_w_y_normalized
2015-01-01,1.3222236753417904
2015-01-05,2.4172811685764004
2015-01-12,2.7784171503878143
2015-01-19,2.190114986469221
2015-01-26,2.4760015622622658
2015-02-02,2.660406397073584
2015-02-09,2.7637231503579947
2015-02-16,2.99618584524792
2015-02-23,2.3543917120748326
2015-03-02,2.5774005864027854
2015-03-09,2.5199285321605274
2015-03-16,2.458035550668866
2015-03-23,2.241410115448048
2015-03-30,1.9474646421548114
2015-04-06,1.7014367415260148
2015-04-13,1.661054540382201
2015-04-20,1.6664388338680427
2015-04-27,1.5965340078801238
2015-05-04,1.5149268169416705
2015-05-11,1.6673339413824824
2015-05-18,1.6612376564048499
2015-05-25,1.7252486486699912
2015-06-01,1.5781264050163955
2015-06-08,1.476311798241144
2015-06-15,1.948361338744582
2015-06-22,1.6012660883744068
2015-06-29,2.403799197797731
2015-07-06,2.7759814206056257
2015-07-13,2.377556630128687
2015-07-20,2.2476355027992505
2015-07-27,2.5536053738471334
2015-08-03,2.323547631231651
2015-08-10,2.2039914891324837
2015-08-17,2.5574618222952403
2015-08-24,2.5106789840825225
2015-08-31,1.7444800560208997
2015-09-07,1.6573479615332518
2015-09-14,1.7017878911011781
2015-09-21,1.7070161181091694
2015-09-28,1.4981295844032891
2015-10-05,1.4876192311398015
2015-10-12,1.500555050541017
2015-10-19,1.7172300255113795
2015-10-26,2.0757370203450707
2015-11-02,3.5551943654341045
2015-11-09,2.375108840773205
2015-11-16,2.173448656179253
2015-11-23,2.0315396373909174
2015-11-30,2.062742540437258
2015-12-07,3.223870234359578
2015-12-14,2.4041086099747466
2015-12-21,2.230697497124109
2015-12-28,2.1229814486391887
2016-01-04,2.4055014022709558
2016-01-11,2.6427945773499086
2016-01-18,2.5916136964505267
2016-01-25,2.2891812184087237
2016-02-01,2.4074937980746727
2016-02-08,2.520415646014385
2016-02-15,2.881765559421465
2016-02-22,2.642371241789275
2016-02-29,2.6095070901819923
2016-03-07,2.4511616324378163
2016-03-14,2.425717048018047
2016-03-21,2.311216418129083
2016-03-28,2.378241177088477
2016-04-04,2.4666766229376758
2016-04-11,2.362002153698623
2016-04-18,2.5713510921767284
2016-04-25,2.7793418597587203
2016-05-02,4.469997227251227
2016-05-09,2.833096834173313
2016-05-16,2.694589877835951
2016-05-23,3.0093784149663194
2016-05-30,3.5873112344888245
2016-06-06,3.5532288665589196
2016-06-13,4.945588269739768
2016-06-20,4.809968847352024
2016-06-27,3.4205529083081907
2016-07-04,2.903177190953725
2016-07-11,2.3982768099182947
2016-07-18,2.167778809880381
2016-07-25,2.1568027146404805
2016-08-01,3.235007928742535
2016-08-08,2.281696413509227
2016-08-15,2.125415837241472
2016-08-22,2.226998211815513
2016-08-29,2.3689891904144083
2016-09-05,2.59202875197915
2016-09-12,2.555521304768176
2016-09-19,2.523070240580644
2016-09-26,2.34004077735641
2016-10-03,2.2526758441429426
2016-10-10,2.4491858645894546
2016-10-17,2.3581202453581445
2016-10-24,2.7511402862511685
2016-10-31,3.313057276572752
2016-11-07,3.3319966015293114
2016-11-14,3.3975870858113844
2016-11-21,3.3516737468139333
2016-11-28,3.4509418842998616
2016-12-05,3.5117785343350585
2016-12-12,3.417789327820008
2016-12-19,4.6567379591547615
2016-12-26,5.036786570847417
2017-01-02,6.803348696048928
2017-01-09,5.212338704302757
2017-01-16,4.131876694982595
2017-01-23,3.7875536370673792
2017-01-30,4.270601563916892
2017-02-06,4.4127330045774364
2017-02-13,4.044256317840827
2017-02-20,5.050826779170101
2017-02-27,5.816862642125898
2017-03-06,6.478113781009444
2017-03-13,5.627791419426167
2017-03-20,5.3257032120215815
2017-03-27,4.793609261890338
2017-04-03,4.993047246386185
2017-04-10,4.859899319815886
2017-04-17,4.901508046869105
2017-04-24,5.475708480203516
2017-05-01,6.937245635690353
2017-05-08,9.262366425674482
2017-05-15,10.291518250749425
2017-05-22,18.829666725445243
2017-05-29,11.315052493826373
2017-06-05,12.429350297326051
2017-06-12,12.95419810258742
2017-06-19,10.496956105227376
2017-06-26,10.992956937469389
2017-07-03,8.645040879145368
2017-07-10,10.274050447790296
2017-07-17,10.532111369555832
2017-07-24,9.75792860425923
2017-07-31,14.704626394329544
2017-08-07,15.008142328748097
2017-08-14,19.166242367881768
2017-08-21,15.300508737749686
2017-08-28,17.9119311765268
2017-09-04,18.37647285525637
2017-09-11,22.373355701274626
2017-09-18,15.665943109106054
2017-09-25,12.495656852144116
2017-10-02,11.74678598874538
2017-10-09,19.704286174669672
2017-10-16,19.914802052604177
2017-10-23,20.209524281712483
2017-10-30,28.47477676874363
2017-11-06,31.283795990688947
2017-11-13,28.54466177952263
2017-11-20,30.13047632282944
2017-11-27,65.39106416982246
2017-12-04,97.66355140186916
2017-12-11,81.30841121495327
2017-12-18,100.0
2017-12-25,59.345794392523366
2018-01-01,46.8677274259939
2018-01-08,44.70667947551579
2018-01-15,55.37685373100143
2018-01-22,37.007946151937546
2018-01-29,40.25019273048639
2018-02-05,45.668275649584054
2018-02-12,26.676420631848377
2018-02-19,23.16347635111114
2018-02-26,18.442334471879235
2018-03-05,18.840039269342853
2018-03-12,19.135440581928368
2018-03-19,16.345539296398503
2018-03-26,17.736142418281354
2018-04-02,16.582534825194653
2018-04-09,15.67952550303059
2018-04-16,14.09241820953011
2018-04-23,14.256601722650851
2018-04-30,12.196296150323608
2018-05-07,12.206319970287497
2018-05-14,10.916054604300735
2018-05-21,11.223260643821392
2018-05-28,9.870102690734116
2018-06-04,9.984405706472463
2018-06-11,12.738724522051076
